iter	MultiClass
114	0.5007584
115	0.4993142234
116	0.4972137649
117	0.4954427201
118	0.4947621712
119	0.4938686901
120	0.4928936418
121	0.4918970274
122	0.4911037903
123	0.4890207961
124	0.4875620081
125	0.4868701473
126	0.4852069734
127	0.4834340664
128	0.4823924916
129	0.480718409
130	0.4790966216
131	0.477472913
132	0.4764913765
133	0.474177867
134	0.4729113217
135	0.4702932424
136	0.4690269261
137	0.4679054923
138	0.4658171324
139	0.4648727378
140	0.4638251727
141	0.4624391249
142	0.4607305802
143	0.4592144657
144	0.4577013487
145	0.4568280308
146	0.4553291166
147	0.4539985337
148	0.4529524212
149	0.4504532551
150	0.4486692471
151	0.4475625843
152	0.446757385
153	0.4454609254
154	0.4436483363
155	0.4419871601
156	0.4414646888
157	0.440570145
158	0.4384013442
159	0.436715046
160	0.4354040866
161	0.4342919742
162	0.4334654808
163	0.4324346606
164	0.4305006414
165	0.4292289011
166	0.4279455734
167	0.4273196025
168	0.4257272292
169	0.4246161943
170	0.4238957604
171	0.4228812006
172	0.4220902108
173	0.4201549245
174	0.4185454189
175	0.4176032837
176	0.4170947685
177	0.4157113523
178	0.4140008672
179	0.4126955962
180	0.4116738668
181	0.4110774308
182	0.4104483699
183	0.4095656334
184	0.4086305545
185	0.4073276935
186	0.4062705923
187	0.4057156454
188	0.4053800669
189	0.4036394923
190	0.4030716122
191	0.4017395742
192	0.4006848882
193	0.3991847515
194	0.3984552079
195	0.3970959422
196	0.3964790949
197	0.3949825215
198	0.3935578411
199	0.3930470678
200	0.3921685797
201	0.3909077988
202	0.3902947889
203	0.3899110849
204	0.3884375338
205	0.3878774791
206	0.3869984662
207	0.3861571089
208	0.3855623005
209	0.3844039085
210	0.3830385118
211	0.3825279492
212	0.3809083367
213	0.3797201922
214	0.378655756
215	0.377895749
216	0.3774096454
217	0.3762952766
218	0.3751804873
219	0.3746072296
220	0.3737999484
221	0.3728850276
222	0.3713909983
223	0.3703805047
224	0.3689019527
225	0.3678444138
226	0.3671355507
227	0.3656984401
228	0.3656105927
229	0.3653426926
230	0.364221125
231	0.3630615069
232	0.3619626897
233	0.3611566851
234	0.3603188965
235	0.3593020281
236	0.3581225877
237	0.3571479301
238	0.3558852877
239	0.3546000079
240	0.354049396
241	0.3535013107
242	0.3529573848
243	0.3522761913
244	0.3516668823
245	0.3499624012
246	0.3489617685
247	0.347586739
248	0.3465930774
249	0.3456183638
250	0.3448406063
251	0.3445271787
252	0.3434634398
253	0.3423229405
254	0.3414079031
255	0.3404260876
256	0.3396033518
257	0.3387319042
258	0.3374651461
259	0.3364592498
260	0.3358153668
261	0.3353339257
262	0.3344984699
263	0.3334596619
264	0.3327221451
265	0.3324830798
266	0.3314966304
267	0.3307924226
268	0.330447616
269	0.3292828713
270	0.3283280558
271	0.3279344909
272	0.3266593644
273	0.3259024643
274	0.3250265704
275	0.3240402385
276	0.3232120275
277	0.3225853879
278	0.3220447948
279	0.3208862722
280	0.3201925803
281	0.3193824115
282	0.3187478266
283	0.3182442529
284	0.3173222219
285	0.3163155307
286	0.3154071364
287	0.3145453738
288	0.3140501836
289	0.3132270925
290	0.3121558377
291	0.3115315051
292	0.3105890178
293	0.31027708
294	0.3097457302
295	0.3090183816
296	0.3086801823
297	0.3076779958
298	0.307295282
299	0.30664759
300	0.3061833434
301	0.3052835433
302	0.3045922174
303	0.3036912793
304	0.3030960561
305	0.3025765576
306	0.302345823
307	0.3014999896
308	0.3006563201
309	0.2997147904
310	0.2990273708
311	0.2985158304
312	0.2972938565
313	0.2971762616
314	0.2962281372
315	0.2957515479
316	0.2949998816
317	0.2942177446
318	0.2939038868
319	0.2931295891
320	0.2919843404
321	0.2911260157
322	0.2902433277
323	0.2891815239
324	0.2884440562
325	0.2872102206
326	0.2868311904
327	0.2861393545
328	0.2849699418
329	0.2841574226
330	0.2837053586
331	0.283091996
332	0.2826595617
333	0.2818697325
334	0.2809426212
335	0.2801340427
336	0.2795056769
337	0.2791604359
338	0.2786038057
339	0.2781447772
340	0.2778125858
341	0.2768510492
342	0.2763457337
343	0.2756192256
344	0.2753027622
345	0.2748433684
346	0.2744707022
347	0.2733912493
348	0.2730132635
349	0.2720533464
350	0.2714381997
351	0.2707223886
352	0.270185495
353	0.2696472956
354	0.2691953793
355	0.2682380045
356	0.2675844672
357	0.2670174172
358	0.2663205487
359	0.2655879515
360	0.264945553
361	0.2644441158
362	0.2636935789
363	0.2631538163
364	0.2626708751
365	0.2622359065
366	0.2619761994
367	0.2617038857
368	0.2610071754
369	0.2606480545
370	0.2601481681
371	0.2593222406
372	0.2585899751
373	0.2581719452
374	0.2580007999
375	0.2569855354
376	0.2565982275
377	0.2559156366
378	0.2552082928
379	0.2545912616
380	0.2542948999
381	0.2538408333
382	0.253222827
383	0.2529459246
384	0.2527182924
385	0.2521922646
386	0.2515464269
387	0.251186427
388	0.2507454122
389	0.2504130646
390	0.2496337744
391	0.2488549487
392	0.2481957821
393	0.2477174736
394	0.2472575358
395	0.2467217444
396	0.2461073282
397	0.2456194722
398	0.2451641938
399	0.2446216965
400	0.2441116831
401	0.2436660158
402	0.2431734172
403	0.2428684995
404	0.2423324527
405	0.2421805956
406	0.2416551006
407	0.240754599
408	0.2402482742
409	0.2396188486
410	0.239039433
411	0.2388648706
412	0.238382267
413	0.2380475044
414	0.2374471127
415	0.2369534005
416	0.2365267093
417	0.2360653218
418	0.2356705508
419	0.2351787493
420	0.2347847451
421	0.2344341669
422	0.2340444608
423	0.2336816089
424	0.2333792328
425	0.2328900776
426	0.2324411472
427	0.231982644
428	0.2314231037
429	0.2309446004
430	0.2306253112
431	0.2302351161
432	0.2300256386
433	0.2295890181
434	0.2292593802
435	0.2288210367
436	0.2283267597
437	0.2278684974
438	0.2272162885
439	0.226458395
440	0.2262243898
441	0.2259271856
442	0.2254702473
443	0.2251172987
444	0.2244318224
445	0.2238843873
446	0.2233982345
447	0.2231476858
448	0.222405732
449	0.222102263
450	0.2218578641
451	0.2215255165
452	0.2209983923
453	0.2206158314
454	0.2202143983
455	0.219516136
456	0.2189191762
457	0.2183661312
458	0.2177937263
459	0.2177144499
460	0.2173648002
461	0.216872684
462	0.216449202
463	0.2161241998
464	0.2156094575
465	0.2151016771
466	0.214678061
467	0.2143384973
468	0.2140815635
469	0.2136563306
470	0.2130356012
471	0.2128496989
472	0.2122439823
473	0.2120536052
474	0.2117518971
475	0.211330524
476	0.2107675584
477	0.2103607334
478	0.2096703662
479	0.2094438865
480	0.2091894029
481	0.2088480578
482	0.2085200269
483	0.2083533855
484	0.2079798758
485	0.207628094
486	0.2073188019
487	0.2071746594
488	0.206672336
489	0.2062780098
490	0.205787392
491	0.2053727394
492	0.2049343388
493	0.2043929377
494	0.2037050687
495	0.2031786994
496	0.20298922
497	0.2026278704
498	0.2018864686
499	0.2014179125
500	0.2011465523
501	0.2008706448
502	0.2003758618
503	0.2000351498
504	0.1997927559
505	0.1993395342
506	0.1988145456
507	0.198606617
508	0.1983108107
509	0.1980176628
510	0.1976462649
511	0.1974177519
512	0.1969891173
513	0.1964553193
514	0.196082536
515	0.1955187465
516	0.1949343679
517	0.1944859691
518	0.1942055054
519	0.1939084512
520	0.1934022842
521	0.1930151584
522	0.1926168285
523	0.1923063618
524	0.1919182755
525	0.1916821867
526	0.1912451542
527	0.1910704434
528	0.1908080376
529	0.1906220947
530	0.1902933211
531	0.1900661496
532	0.189599151
533	0.1889150207
534	0.188558597
535	0.1882432569
536	0.1881243248
537	0.1878473217
538	0.1874923724
539	0.187270708
540	0.1870387691
541	0.186632479
542	0.1862456241
543	0.1858073583
544	0.1855669792
545	0.1850536601
546	0.1845973916
547	0.1842576568
548	0.1839369711
549	0.1838138058
550	0.1833577108
551	0.1830627206
552	0.1827006108
553	0.1822526415
554	0.1819531109
555	0.1816180073
556	0.1812898558
557	0.1809186435
558	0.1806029066
559	0.1802833492
560	0.1800986287
561	0.1796627325
562	0.1793735525
563	0.1792397846
564	0.1790576094
565	0.1785543661
566	0.1782990832
567	0.1777403715
568	0.1774057963
569	0.1772450133
570	0.1769176832
571	0.1767671793
572	0.1763693302
573	0.1760785219
574	0.1757630706
575	0.1755648423
576	0.1753379598
577	0.17512586
578	0.1747986673
579	0.1744333307
580	0.1742748868
581	0.1740191026
582	0.1735915015
583	0.1732752685
584	0.1731304952
585	0.1728532607
586	0.172599658
587	0.1723645936
588	0.1722036766
589	0.1717485473
590	0.1714354067
591	0.1711413877
592	0.1709374649
593	0.1705046275
594	0.1702537684
595	0.1699050256
596	0.1695842027
597	0.1692951617
598	0.1689685134
599	0.1687018675
600	0.1684564179
601	0.1681644462
602	0.1677423581
603	0.1675519067
604	0.1672207571
605	0.1667897162
606	0.1665687013
607	0.1661882489
608	0.1659865632
609	0.1655676565
610	0.1653002556
611	0.1651439435
612	0.1648036612
613	0.1645590003
614	0.1644356556
615	0.1640608788
616	0.1637246966
617	0.1636197958
618	0.1633634316
619	0.163108538
620	0.1628659583
621	0.1627929695
622	0.162375102
623	0.1618343113
624	0.1616150637
625	0.1614262158
626	0.1612038721
627	0.1609385292
628	0.160751788
629	0.1604220031
630	0.1602690489
631	0.1601511343
632	0.1600218522
633	0.159711252
634	0.1594174408
635	0.1592382801
636	0.1591675847
637	0.1590183446
638	0.1588711445
639	0.1586404741
640	0.1583051735
641	0.1581978745
642	0.1580460603
643	0.1578237626
644	0.1575856909
645	0.1572949425
646	0.1568206237
647	0.1565589526
648	0.1563549494
649	0.1561233878
650	0.155672257
651	0.1552193096
652	0.1548775289
653	0.1547677934
654	0.1546237157
655	0.1545403694
656	0.1541001859
657	0.1539833714
658	0.1538739692
659	0.1536611583
660	0.1533246573
661	0.1532044681
662	0.1529908957
663	0.1528057977
664	0.1525618298
665	0.152179496
666	0.1519565673
667	0.1518473366
668	0.1516292036
669	0.1514266174
670	0.1512194207
671	0.150897798
672	0.150654584
673	0.1503741196
674	0.150040977
675	0.1497650131
676	0.1496542433
677	0.1494579186
678	0.1492904331
679	0.1491090522
680	0.148924698
681	0.1487447579
682	0.1485410436
683	0.1483366637
684	0.1479263739
685	0.1477898871
686	0.1475972964
687	0.1473902477
688	0.1471316548
689	0.1469216543
690	0.1467516192
691	0.1465157211
692	0.1462458998
693	0.1460964814
694	0.1458368249
695	0.1456767374
696	0.1452986532
697	0.1451241119
698	0.1450290407
699	0.1448071456
700	0.1444598669
701	0.144178684
702	0.1439340084
703	0.14354682
704	0.1432415386
705	0.1428991446
706	0.1425972001
707	0.1423145614
708	0.1420634799
709	0.1417891194
710	0.1415494786
711	0.1414017729
712	0.1413551769
713	0.140979454
714	0.1407192805
715	0.140580505
716	0.1403143665
717	0.1401897676
718	0.1399920277
719	0.139774314
720	0.139483192
721	0.1393171198
722	0.1390131234
723	0.1389677492
724	0.1387873384
725	0.1385211926
726	0.1382073052
727	0.1379125778
728	0.137689515
729	0.1374611088
730	0.1371877924
731	0.1368904356
732	0.136694376
733	0.13646295
734	0.1363131445
735	0.1361213048
736	0.1360450918
737	0.1357199057
738	0.1355972329
739	0.1354957691
740	0.1353676755
741	0.1351938214
742	0.134898782
743	0.1346635746
744	0.1344463177
745	0.1342864206
746	0.1340220269
747	0.1338246301
748	0.1336511873
749	0.1334549208
750	0.1332399785
751	0.1330602199
752	0.132952877
753	0.132782248
754	0.1324561199
755	0.1322236536
756	0.1318796012
757	0.1317032719
758	0.131471015
759	0.1313482352
760	0.1312756804
761	0.1311980649
762	0.131152716
763	0.1310467446
764	0.1307529785
765	0.1304316041
766	0.1301503172
767	0.1300335469
768	0.1297600451
769	0.1295079913
770	0.1292744494
771	0.1289339058
772	0.1287673771
773	0.1286627954
774	0.1284498938
775	0.1283641647
776	0.1281863578
777	0.1279782442
778	0.1278481557
779	0.1277750938
780	0.127607135
781	0.1274620788
782	0.1273105818
783	0.1271289786
784	0.126945483
785	0.1267453744
786	0.1265434952
787	0.1262594548
788	0.126210908
789	0.1260168241
790	0.1259182379
791	0.1257006135
792	0.125538057
793	0.1252927279
794	0.1250793337
795	0.124949795
796	0.1247115574
797	0.1243457522
798	0.124163353
799	0.1240215909
800	0.1238550615
801	0.1235854707
802	0.123432513
803	0.1231348175
804	0.1229362993
805	0.1226651735
806	0.1224810904
807	0.12227841
808	0.1220070312
809	0.1218354965
810	0.1216517096
811	0.1215367143
812	0.1212742253
813	0.1210790645
814	0.1208947986
815	0.1208089302
816	0.1206968487
817	0.1205592352
818	0.1202459082
819	0.1200927064
820	0.119907202
821	0.1197721162
822	0.1194819029
823	0.1193266882
824	0.1192548327
825	0.1191517028
826	0.1189585647
827	0.1188463282
828	0.1186733757
829	0.1184854205
830	0.1182987202
831	0.1180699812
832	0.1177569134
833	0.1175123056
834	0.1174015837
835	0.1173057987
836	0.1170283261
837	0.116843346
838	0.1167190591
839	0.1164671456
840	0.1162385385
841	0.1160470463
842	0.1158673173
843	0.1157298907
844	0.1156330662
845	0.1153600621
846	0.1151493563
847	0.1148437779
848	0.1146390262
849	0.1144417252
850	0.1143047193
851	0.1141953352
852	0.1140309331
853	0.1139079809
854	0.1137528224
855	0.1136227395
856	0.113507953
857	0.113331413
858	0.1130391865
859	0.1128159057
860	0.1126049097
861	0.1123847719
862	0.1122616846
863	0.1120232998
864	0.1119857123
865	0.1117283352
866	0.1116287517
867	0.1114353083
868	0.1111994253
869	0.111053978
870	0.1109398065
871	0.110737097
872	0.1105645078
873	0.1104359885
874	0.110348119
875	0.1102766329
876	0.1101482727
877	0.1100184992
878	0.1097707989
879	0.1096050056
880	0.1093264093
881	0.1092426223
882	0.1091509993
883	0.1089560916
884	0.1088968853
885	0.1086845831
886	0.108508171
887	0.1083339695
888	0.108118019
889	0.1078852974
890	0.1078360897
891	0.1076839184
892	0.1073995721
893	0.1072884681
894	0.1070995858
895	0.1069705464
896	0.1068867745
897	0.1067219062
898	0.1066350603
899	0.1065071659
900	0.106238577
901	0.106090523
902	0.1060501077
903	0.1059146924
904	0.1058526965
905	0.1058057154
906	0.1056918465
907	0.1055738909
908	0.105454899
909	0.1053779285
910	0.1052373454
911	0.105073354
912	0.1049321909
913	0.1048621048
914	0.1047491329
915	0.1045360307
916	0.1043507916
917	0.104222634
918	0.1041583384
919	0.1040842016
920	0.1039689278
921	0.1038917354
922	0.1037284734
923	0.1035378931
924	0.1033942392
925	0.103293635
926	0.1032089685
927	0.1030510646
928	0.1029297098
929	0.1027963809
930	0.1026907809
931	0.1025639276
932	0.1024310563
933	0.1022506612
934	0.1021112216
935	0.1019070224
936	0.1016958667
937	0.1015642943
938	0.101483274
939	0.1013496246
940	0.1011641505
941	0.10103952
942	0.1007967926
943	0.1007096816
944	0.1005843791
945	0.1004814249
946	0.1004425197
947	0.1003601267
948	0.1002572243
949	0.1000799792
950	0.09990932619
951	0.09976628472
952	0.09964418752
953	0.09950412282
954	0.09936559263
955	0.0992001585
956	0.0989699446
957	0.09870628945
958	0.09864540038
959	0.09861082127
960	0.09848165948
961	0.0983038367
962	0.09819269472
963	0.09805509118
964	0.09794585513
965	0.09789811983
966	0.09781093026
967	0.09768980521
968	0.09752784772
969	0.09746266301
970	0.09733405856
971	0.0972494379
972	0.09717409513
973	0.0969799574
974	0.09674707652
975	0.09667736378
976	0.09663650719
977	0.09648650229
978	0.09626912064
979	0.09615469204
980	0.0960986002
981	0.09604758767
982	0.09593746798
983	0.09582995373
984	0.09576002854
985	0.09562201227
986	0.09546982888
987	0.09535312514
988	0.09520793498
989	0.09503733689
990	0.09493520299
991	0.09477506136
992	0.09463188707
993	0.09451099932
994	0.09442639882
995	0.09432237611
996	0.09422811995
997	0.09406362807
998	0.09394857241
999	0.09389776476
