 0.96 0.92 0.89 0.85 0.81 0.78 0.74 0.70 0.66 0.61 0.56 0.50 0.43 0.34 0.24 0.13
 0.95 0.91 0.86 0.82 0.78 0.73 0.69 0.65 0.60 0.55 0.50 0.44 0.37 0.29 0.20 0.10
 0.95 0.89 0.84 0.79 0.74 0.69 0.64 0.60 0.55 0.50 0.45 0.39 0.32 0.25 0.17 0.09
 0.94 0.87 0.81 0.75 0.70 0.65 0.60 0.55 0.50 0.45 0.40 0.34 0.28 0.22 0.15 0.08
